sep=,
DeviceTag:,Shank
FirmwareVersion:,1.6.0
AppVersion:,2020.4.1
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Orientation(Euler)
StartTime: ,2021-03-25_17:03:59_883 CDT
© Xsens Technologies B. V. 2005-2020

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z
1,305442441,172.362854,-81.220139,-28.829361
2,305459108,168.108429,-80.635422,-24.832567
3,305475775,165.786484,-79.967010,-22.939264
4,305492442,165.871780,-79.447533,-23.388071
5,305509109,166.137268,-79.139961,-24.069674
6,305525776,164.879425,-78.779739,-23.610655
7,305542443,163.329117,-78.490593,-22.922184
8,305559110,162.273010,-78.365715,-22.613567
9,305575777,162.805099,-78.358673,-23.051531
10,305592444,163.441895,-78.371124,-23.681356
11,305609111,163.492035,-78.342102,-23.792273
12,305625778,163.032349,-78.292236,-23.595036
13,305642445,162.694351,-78.255882,-23.318375
14,305659112,163.138611,-78.263771,-23.288984
15,305675779,163.626785,-78.272491,-23.314875
16,305692446,163.801086,-78.253403,-23.164688
17,305709113,163.585861,-78.204956,-22.894688
18,305725780,163.437790,-78.152771,-22.671150
19,305742447,163.254120,-78.127350,-22.431683
20,305759114,163.013763,-78.091431,-22.192448
21,305775781,162.705109,-78.079155,-21.885715
22,305792448,162.285461,-78.100952,-21.509407
23,305809115,161.915039,-78.117744,-21.169359
24,305825782,161.414642,-78.156738,-20.755856
25,305842449,161.051025,-78.168869,-20.453407
26,305859116,160.974487,-78.149048,-20.255116
27,305875783,161.031021,-78.125565,-20.169678
28,305892450,161.059875,-78.078911,-20.091568
29,305909117,161.040955,-78.042351,-20.006014
30,305925784,161.051483,-78.010925,-19.935556
31,305942451,161.029037,-77.990616,-19.852587
32,305959118,161.099762,-77.949211,-19.787676
33,305975785,161.168533,-77.939713,-19.708784
34,305992452,161.222336,-77.924431,-19.664450
35,306009119,161.204453,-77.930618,-19.596783
36,306025786,161.210815,-77.946648,-19.600359
37,306042453,161.157333,-77.980705,-19.648941
38,306059120,161.036331,-78.022232,-19.684727
39,306075787,160.768936,-78.072960,-19.671904
40,306092454,160.615891,-78.128052,-19.639315
41,306109121,160.559006,-78.195839,-19.564877
42,306125788,160.602463,-78.229637,-19.558212
43,306142455,160.625244,-78.254120,-19.517477
44,306159122,160.656708,-78.247078,-19.505917
45,306175789,160.968475,-78.206139,-19.575993
46,306192456,161.325134,-78.165306,-19.684080
47,306209123,161.653687,-78.125626,-19.802717
48,306225790,161.714722,-78.074585,-19.928310
49,306242457,161.778900,-78.025841,-20.030228
50,306259124,161.899124,-78.030746,-20.159451
51,306275791,161.945862,-78.050873,-20.258284
52,306292458,161.815674,-78.065102,-20.319052
53,306309125,161.767090,-78.120300,-20.314198
54,306325792,161.747131,-78.153511,-20.337654
55,306342459,161.850098,-78.131836,-20.469839
56,306359126,162.015625,-78.071075,-20.683418
57,306375793,162.304337,-77.983551,-20.939947
58,306392460,162.503174,-77.899834,-21.199333
59,306409127,162.698898,-77.829819,-21.407005
60,306425794,162.622253,-77.881531,-21.270603
61,306442461,162.473694,-78.002815,-20.967453
62,306459128,162.354065,-78.224495,-20.523609
63,306475795,162.279877,-78.412590,-20.169413
64,306492462,162.226822,-78.563515,-19.843483
65,306509129,161.939285,-78.835495,-19.226871
66,306525796,161.679413,-79.033394,-18.658684
67,306542463,161.623764,-79.122391,-18.313776
68,306559130,161.681656,-79.160606,-17.904829
69,306575797,161.861038,-79.120132,-17.823215
70,306592464,161.884323,-79.063957,-17.645981
71,306609131,161.752258,-79.035690,-17.395554
72,306625798,161.743393,-78.990074,-17.117369
73,306642465,161.838882,-78.922981,-16.922422
74,306659132,162.057205,-78.813652,-16.800694
75,306675799,162.195389,-78.731644,-16.627033
76,306692466,162.116989,-78.707710,-16.246141
77,306709133,162.022720,-78.724976,-15.831497
78,306725800,161.915741,-78.785942,-15.360766
79,306742467,162.061447,-78.870293,-14.830231
80,306759134,162.227661,-78.936821,-14.361494
81,306775801,162.378555,-78.988403,-13.934990
82,306792468,162.483231,-79.031578,-13.582300
83,306809135,162.603317,-79.030678,-13.383272
84,306825802,162.815765,-79.012085,-13.329541
85,306842469,162.847824,-78.985794,-13.322005
86,306859136,162.775223,-78.969238,-13.300218
87,306875803,162.729355,-78.969330,-13.285670
88,306892470,162.924500,-78.969887,-13.362888
89,306909137,163.073654,-78.959641,-13.497460
90,306925804,163.228348,-78.959427,-13.613152
91,306942471,163.166504,-78.997475,-13.638373
92,306959138,163.221039,-79.020241,-13.676255
93,306975805,163.281219,-79.052872,-13.708668
94,306992472,163.326096,-79.099899,-13.710548
95,307009139,163.394241,-79.137390,-13.707043
96,307025806,163.525833,-79.183136,-13.737701
97,307042473,163.808975,-79.224762,-13.835811
98,307059140,164.023926,-79.270149,-13.921165
99,307075807,164.045166,-79.321411,-13.964618
100,307092474,164.076630,-79.351700,-14.027423
101,307109141,164.285797,-79.343513,-14.219512
102,307125808,164.790863,-79.275421,-14.591722
103,307142475,165.001770,-79.257195,-14.822100
104,307159142,164.833664,-79.289230,-14.875850
105,307175809,164.809875,-79.268433,-15.023355
106,307192476,164.994156,-79.211380,-15.313568
107,307209143,165.112976,-79.146965,-15.606615
108,307225810,165.200851,-79.034195,-15.917329
109,307242477,165.237930,-78.901924,-16.243116
110,307259144,165.069336,-78.814034,-16.392273
111,307275811,164.859940,-78.703842,-16.507887
112,307292478,164.723434,-78.564079,-16.641930
113,307309145,164.969086,-78.347862,-16.946308
114,307325812,165.250290,-78.042824,-17.444334
115,307342479,165.305725,-77.726120,-17.930832
116,307359146,164.838089,-77.403679,-18.163769
117,307375813,164.952972,-76.865555,-18.704634
118,307392480,166.451202,-75.867027,-20.043020
119,307409147,169.504364,-74.296577,-22.299404
120,307425814,172.894592,-72.564842,-24.804598
121,307442481,175.803467,-70.774605,-27.171774
122,307459148,178.071121,-68.452194,-29.116301
123,307475815,-179.806839,-66.070175,-30.354160
124,307492482,-178.122437,-65.240242,-31.372511
125,307509149,-176.810028,-64.613663,-32.556717
126,307525816,-175.377121,-63.720448,-33.843559
127,307542483,-174.097931,-63.997501,-35.079433
128,307559150,-173.586121,-64.939568,-35.848194
129,307575817,-175.105804,-66.035583,-35.879406
130,307592484,-177.165924,-67.771477,-35.086845
131,307609151,-179.673752,-69.800613,-33.402676
132,307625818,176.933868,-72.049339,-30.623880
133,307642485,172.584122,-74.452911,-26.314592
134,307659152,166.399872,-76.891220,-19.732523
135,307675819,157.102417,-79.260101,-9.561077
136,307692486,142.852402,-81.091217,5.517983
137,307709153,123.895042,-81.991539,25.016432
138,307725820,102.171677,-81.833023,46.890293
139,307742487,83.159386,-80.622231,65.514366
140,307759154,69.699585,-78.743561,78.575279
141,307775821,60.805138,-76.726425,87.325890
142,307792488,55.341183,-75.087875,92.402641
143,307809155,52.122269,-73.894051,95.183182
144,307825822,49.638874,-73.098328,96.896362
145,307842489,48.968475,-73.066360,97.196236
146,307859156,49.693695,-73.780945,96.276825
147,307875823,51.729473,-75.207802,94.147408
148,307892490,55.179955,-77.344574,90.411354
149,307909157,61.703129,-79.176727,84.040039
150,307925824,64.764572,-80.227325,80.426735
151,307942491,69.000076,-81.546181,75.776047
152,307959158,82.591133,-82.885727,63.018597
153,307975825,98.909470,-83.499649,47.252266
154,307992492,114.368263,-83.777641,32.340508
155,308009159,134.828583,-83.239227,11.397420
156,308025826,152.358994,-82.090660,-3.461936
157,308042493,159.675720,-81.690926,-9.559542
158,308059160,163.745850,-80.876396,-14.797776
159,308075827,167.197510,-79.821907,-19.016060
160,308092494,168.384613,-79.285133,-21.619577
161,308109161,171.047638,-78.483475,-24.339014
162,308125828,174.738510,-77.768745,-26.813915
163,308142495,176.740585,-77.207489,-28.850695
164,308159162,177.960663,-76.589005,-30.631292
165,308175829,178.269577,-76.323547,-31.709789
166,308192496,177.859665,-76.162781,-32.534267
167,308209163,177.977982,-75.891632,-33.197445
168,308225830,177.832077,-75.901962,-33.775032
169,308242497,178.108459,-75.871948,-34.416275
170,308259164,178.684128,-75.556564,-35.208065
171,308275831,179.300385,-75.345337,-35.885059
172,308292498,-179.970657,-75.021690,-36.577026
173,308309165,-179.133392,-74.628448,-37.315464
174,308325832,-178.368530,-74.140991,-38.069828
175,308342499,-177.285019,-73.545425,-38.910549
176,308359166,-176.187286,-72.979416,-39.803806
177,308375833,-175.452072,-72.280823,-40.617199
178,308392500,-175.095245,-71.488304,-41.313854
179,308409167,-174.657379,-70.623596,-42.088413
180,308425834,-174.048904,-69.605171,-42.880192
181,308442501,-172.894196,-68.394897,-43.454613
182,308459168,-171.871811,-66.924294,-43.947426
183,308475835,-170.891953,-65.094826,-44.307747
184,308492502,-170.245712,-62.986542,-44.594650
185,308509169,-170.083603,-60.682884,-44.854767
186,308525836,-170.124435,-58.105152,-44.971905
187,308542503,-170.408310,-55.282627,-45.000977
188,308559170,-170.709259,-52.030994,-45.178894
189,308575837,-171.556335,-48.599213,-45.623726
190,308592504,-172.727386,-45.143475,-46.208118
191,308609171,-174.012436,-41.485825,-47.002228
192,308625838,-173.983932,-37.079151,-47.909016
193,308642505,-173.129196,-34.107502,-48.950718
194,308659172,-172.533966,-32.718620,-49.827366
195,308675839,-172.809677,-31.021856,-50.738148
196,308692506,-173.794662,-29.311707,-51.555061
