sep=,
DeviceTag:,Thigh
FirmwareVersion:,1.6.0
AppVersion:,2020.4.1
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Orientation(Euler)
StartTime: ,2021-03-25_17:03:59_885 CDT
© Xsens Technologies B. V. 2005-2020

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z
1,292745257,109.290260,-85.237869,4.601276
2,292761924,114.886063,-83.776093,-1.481501
3,292778591,122.005920,-82.452675,-9.230949
4,292795258,127.905388,-81.497589,-16.044510
5,292811925,132.190872,-80.910049,-21.331192
6,292828592,136.473740,-80.394829,-26.851059
7,292845259,139.962326,-79.961800,-31.893045
8,292861926,143.276291,-79.729195,-36.250824
9,292878593,146.105957,-79.856895,-39.272167
10,292895260,148.645996,-80.009148,-41.698776
11,292911927,150.686020,-80.252892,-43.131741
12,292928594,152.543259,-80.535851,-44.190613
13,292945261,154.457382,-80.961563,-44.769753
14,292961928,156.105698,-81.225426,-45.481056
15,292978595,157.427017,-81.355774,-46.089626
16,292995262,158.387512,-81.420135,-46.441830
17,293011929,158.938934,-81.373383,-46.804298
18,293028596,159.288177,-81.247879,-47.380722
19,293045263,159.648392,-81.096138,-48.159023
20,293061930,159.935837,-80.853897,-49.099949
21,293078597,160.278961,-80.620598,-49.970795
22,293095264,160.790802,-80.338676,-50.936260
23,293111931,161.354126,-80.041817,-51.889820
24,293128598,161.763336,-79.779572,-52.612942
25,293145265,161.843369,-79.693405,-52.815262
26,293161932,161.753204,-79.665604,-52.733551
27,293178599,161.657135,-79.670540,-52.526894
28,293195266,161.605804,-79.685539,-52.218021
29,293211933,161.516159,-79.724411,-51.839745
30,293228600,161.455231,-79.764458,-51.488125
31,293245267,161.476898,-79.860497,-51.104698
32,293261934,161.534241,-80.018730,-50.864010
33,293278601,161.752472,-80.101318,-50.851589
34,293295268,161.717117,-80.159874,-50.837097
35,293311935,161.556503,-80.188988,-50.730293
36,293328602,161.504349,-80.208893,-50.750507
37,293345269,161.658234,-80.153282,-51.073429
38,293361936,161.788162,-80.111473,-51.509708
39,293378603,162.095581,-79.971695,-52.280224
40,293395270,162.339127,-79.853981,-52.825947
41,293411937,162.488785,-79.821930,-53.011345
42,293428604,162.669540,-79.797798,-53.058403
43,293445271,162.662811,-79.864532,-52.838814
44,293461938,162.536804,-80.068985,-52.355953
45,293478605,162.372025,-80.346573,-51.814747
46,293495272,162.294312,-80.631081,-51.305725
47,293511939,162.053223,-80.882294,-50.746403
48,293528606,161.810959,-81.080902,-50.348026
49,293545273,161.754425,-81.169296,-50.429218
50,293561940,161.676224,-81.229187,-50.547798
51,293578607,161.610535,-81.224075,-50.703861
52,293595274,161.580566,-81.192284,-51.000263
53,293611941,161.460785,-81.192307,-51.090839
54,293628608,160.991867,-81.368103,-50.729988
55,293645275,160.496353,-81.629257,-50.147732
56,293661942,159.791489,-82.000854,-49.361122
57,293678609,159.109482,-82.347504,-48.517609
58,293695276,158.493362,-82.567902,-47.934235
59,293711943,158.056458,-82.721237,-47.370502
60,293728610,157.997009,-82.745316,-47.249424
61,293745277,157.725555,-82.796440,-46.654976
62,293761944,157.372009,-82.769722,-46.153084
63,293778611,157.128571,-82.671906,-45.948486
64,293795278,156.906097,-82.556503,-45.725517
65,293811945,156.993881,-82.341682,-46.067547
66,293828612,156.983643,-82.203438,-46.147884
67,293845279,156.866547,-82.123390,-45.750702
68,293861946,156.419342,-82.135437,-44.745842
69,293878613,155.775208,-82.196220,-43.599548
70,293895280,155.315506,-82.192650,-42.823051
71,293911947,155.108658,-82.164238,-42.463890
72,293928614,155.175415,-82.082100,-42.422836
73,293945281,155.462982,-81.948509,-42.541843
74,293961948,155.618713,-81.851944,-42.341953
75,293978615,155.849838,-81.705498,-42.296852
76,293995282,155.649994,-81.612785,-41.783691
77,294011949,155.697678,-81.469910,-41.484867
78,294028616,155.917053,-81.333176,-41.360771
