sep=,
DeviceTag:,Shank
FirmwareVersion:,1.6.0
AppVersion:,2020.4.1
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Orientation(Euler)
StartTime: ,2021-03-25_17:02:18_072 CDT
© Xsens Technologies B. V. 2005-2020

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z
1,203650989,146.759857,-81.832016,-36.738148
2,203667656,147.074707,-81.749550,-37.074917
3,203684323,147.869339,-81.757881,-37.862709
4,203700990,148.489548,-81.790207,-38.485256
5,203717657,148.839447,-81.808876,-38.848797
6,203734324,149.084457,-81.833122,-39.119926
7,203750991,149.131866,-81.861160,-39.201344
8,203767658,149.027176,-81.889542,-39.138260
9,203784325,148.891266,-81.924309,-39.024384
10,203800992,148.742783,-81.959343,-38.891167
11,203817659,148.581787,-81.996490,-38.749039
12,203834326,148.457642,-82.023216,-38.645252
13,203850993,148.330612,-82.049248,-38.515862
14,203867660,148.225723,-82.074028,-38.400043
15,203884327,148.104568,-82.096649,-38.267323
16,203900994,147.999313,-82.119255,-38.148266
17,203917661,147.938217,-82.133087,-38.048615
18,203934328,147.829346,-82.145645,-37.934849
19,203950995,147.752075,-82.156128,-37.847870
20,203967662,147.663254,-82.167320,-37.764923
21,203984329,147.579971,-82.175140,-37.691322
22,204000996,147.551529,-82.180389,-37.672314
23,204017663,147.562927,-82.184608,-37.689537
24,204034330,147.618622,-82.185059,-37.742847
25,204050997,147.704208,-82.182167,-37.827927
26,204067664,147.832550,-82.178200,-37.934296
27,204084331,147.985031,-82.173218,-38.015026
28,204100998,148.223465,-82.164436,-38.168709
29,204117665,148.500809,-82.156479,-38.320114
30,204134332,148.744019,-82.139450,-38.491634
31,204150999,148.942062,-82.124413,-38.669418
32,204167666,149.099014,-82.113846,-38.818283
33,204184333,149.241623,-82.111115,-38.945480
34,204201000,149.384247,-82.119972,-39.078621
35,204217667,149.481964,-82.131844,-39.216404
36,204234334,149.548752,-82.138474,-39.334682
37,204251001,149.707443,-82.150146,-39.475639
38,204267668,149.895370,-82.151352,-39.629585
39,204284335,150.037979,-82.159882,-39.717438
40,204301002,150.232056,-82.164993,-39.851608
41,204317669,150.400620,-82.164886,-39.944695
42,204334336,150.526901,-82.166092,-40.017494
43,204351003,150.677856,-82.161736,-40.110352
44,204367670,150.777496,-82.161415,-40.196842
45,204384337,150.845596,-82.165138,-40.235912
46,204401004,150.925415,-82.172531,-40.293961
47,204417671,150.967789,-82.183678,-40.322975
48,204434338,150.963364,-82.193146,-40.333977
49,204451005,150.991714,-82.202660,-40.341217
50,204467672,151.093552,-82.202812,-40.413364
51,204484339,151.270462,-82.205200,-40.504745
52,204501006,151.466904,-82.199211,-40.636227
53,204517673,151.585922,-82.192062,-40.710423
54,204534340,151.732941,-82.185661,-40.745876
55,204551007,151.842667,-82.179008,-40.748432
56,204567674,151.841644,-82.172363,-40.707695
57,204584341,151.779572,-82.166389,-40.618584
58,204601008,151.688782,-82.159981,-40.471634
59,204617675,151.553268,-82.151672,-40.313564
60,204634342,151.363922,-82.147270,-40.103287
61,204651009,151.147873,-82.144173,-39.886826
62,204667676,150.939529,-82.146523,-39.664673
63,204684343,150.779495,-82.144600,-39.481258
64,204701010,150.600571,-82.141472,-39.307014
65,204717677,150.452454,-82.141922,-39.141846
66,204734344,150.344589,-82.138504,-39.008549
67,204751011,150.245728,-82.132538,-38.906364
68,204767678,150.141129,-82.131439,-38.825558
69,204784345,150.037064,-82.129723,-38.805592
70,204801012,149.833267,-82.140579,-38.715630
71,204817679,149.582626,-82.164566,-38.554607
72,204834346,149.349564,-82.187973,-38.413780
73,204851013,149.189301,-82.205574,-38.258976
74,204867680,149.060928,-82.222870,-38.108482
75,204884347,148.905060,-82.236893,-37.937000
76,204901014,148.712143,-82.247032,-37.747849
77,204917681,148.551315,-82.255600,-37.576786
78,204934348,148.430756,-82.259750,-37.408741
79,204951015,148.330093,-82.261322,-37.247597
80,204967682,148.270370,-82.259911,-37.133965
81,204984349,148.168182,-82.260208,-36.983105
82,205001016,148.010666,-82.269699,-36.792320
83,205017683,147.819565,-82.282204,-36.617401
84,205034350,147.541428,-82.302933,-36.377747
85,205051017,147.299118,-82.324738,-36.122482
86,205067684,147.094223,-82.347298,-35.880413
87,205084351,146.888611,-82.370850,-35.631321
88,205101018,146.658539,-82.389259,-35.404034
89,205117685,146.425766,-82.405754,-35.196049
90,205134352,146.226517,-82.419212,-34.986263
91,205151019,146.065704,-82.426773,-34.788555
92,205167686,145.940964,-82.430840,-34.642342
93,205184353,145.824570,-82.428741,-34.534637
94,205201020,145.747940,-82.421326,-34.451523
95,205217687,145.697617,-82.414833,-34.378185
96,205234354,145.647720,-82.406219,-34.316383
97,205251021,145.590683,-82.396820,-34.259979
98,205267688,145.528015,-82.390373,-34.186604
99,205284355,145.461960,-82.380577,-34.126328
100,205301022,145.371796,-82.368279,-34.049458
101,205317689,145.219223,-82.367348,-33.867348
102,205334356,145.071045,-82.367043,-33.720749
103,205351023,144.918549,-82.363701,-33.560917
104,205367690,144.695374,-82.371773,-33.373184
105,205384357,144.485413,-82.377174,-33.194790
106,205401024,144.304993,-82.382790,-33.032162
107,205417691,144.160034,-82.387764,-32.881222
108,205434358,144.027374,-82.387482,-32.770885
109,205451025,143.898727,-82.385681,-32.679836
110,205467692,143.799988,-82.382538,-32.605881
111,205484359,143.774216,-82.375587,-32.575733
112,205501026,143.746323,-82.365448,-32.549934
113,205517693,143.737549,-82.352074,-32.567364
114,205534360,143.739288,-82.335564,-32.588432
115,205551027,143.745789,-82.318222,-32.594505
116,205567694,143.780121,-82.300232,-32.612946
117,205584361,143.842056,-82.282204,-32.645920
118,205601028,143.797989,-82.271324,-32.625603
119,205617695,143.801773,-82.254684,-32.644516
120,205634362,143.770615,-82.243828,-32.636219
121,205651029,143.787933,-82.229767,-32.659874
122,205667696,143.796936,-82.217880,-32.688381
123,205684363,143.815674,-82.207344,-32.716125
124,205701030,143.837967,-82.195457,-32.747005
125,205717697,143.844116,-82.181343,-32.786312
126,205734364,143.859894,-82.169601,-32.833778
127,205751031,143.919006,-82.156006,-32.894753
128,205767698,143.971451,-82.145103,-32.953224
129,205784365,144.040558,-82.134033,-33.022690
130,205801032,144.072815,-82.122421,-33.078598
131,205817699,144.127502,-82.112206,-33.140942
132,205834366,144.139969,-82.101112,-33.195328
133,205851033,144.211365,-82.087112,-33.262405
134,205867700,144.296295,-82.073265,-33.341232
135,205884367,144.392090,-82.054733,-33.433292
136,205901034,144.462662,-82.036369,-144.724869
137,205917701,144.557480,-82.015030,-144.845840
138,205934368,144.627151,-81.994301,-144.957016
139,205951035,144.753677,-81.970184,-145.113403
140,205967702,144.924362,-81.947235,-145.282013
141,205984369,145.110703,-81.923218,-145.463593
142,206001036,145.229355,-81.905418,-145.599731
143,206017703,145.326721,-81.887199,-145.725220
144,206034370,145.345566,-81.882530,-145.792664
145,206051037,145.382019,-81.873344,-145.851028
146,206067704,145.391769,-81.871002,-145.873138
147,206084371,145.401993,-81.871094,-145.878998
148,206101038,145.400833,-81.868973,-145.901291
149,206117705,145.360535,-81.873749,-145.895325
150,206134372,145.346619,-81.873749,-145.903900
151,206151039,145.373337,-81.875786,-145.945892
152,206167706,145.392914,-81.874672,-146.002670
153,206184373,145.423737,-81.872505,-146.066818
154,206201040,145.486603,-81.869019,-146.143433
155,206217707,145.583496,-81.859413,-146.238937
156,206234374,145.687851,-81.847923,-146.359467
157,206251041,145.826859,-81.831802,-146.492966
158,206267708,145.970139,-81.814316,-146.634247
159,206284375,146.164536,-81.793266,-146.803406
160,206301042,146.336014,-81.772186,-146.965591
161,206317709,146.486771,-81.753433,-147.115143
162,206334376,146.646622,-81.731842,-147.277069
163,206351043,146.782745,-81.714684,-147.432266
164,206367710,146.902847,-81.696289,-147.569427
165,206384377,146.984055,-81.681244,-147.694702
166,206401044,147.067947,-81.667137,-147.809662
167,206417711,147.130142,-81.656754,-147.898834
168,206434378,147.177277,-81.644051,-147.971008
169,206451045,147.211212,-81.633018,-148.034485
170,206467712,147.278244,-81.619598,-148.121338
171,206484379,147.320389,-81.604591,-148.197098
172,206501046,147.364624,-81.592278,-148.265274
173,206517713,147.418350,-81.580193,-148.354004
174,206534380,147.479294,-81.566063,-148.440536
175,206551047,147.548965,-81.552849,-148.543213
176,206567714,147.623764,-81.538498,-148.661667
177,206584381,147.696960,-81.524162,-148.771149
178,206601048,147.776581,-81.507378,-148.897049
179,206617715,147.880325,-81.489639,-149.019028
180,206634382,147.990402,-81.471725,-149.145844
181,206651049,148.084259,-81.455688,-149.260147
182,206667716,148.181091,-81.438774,-149.372498
183,206684383,148.285828,-81.422676,-149.498260
184,206701050,148.405670,-81.406456,-149.630417
185,206717717,148.546906,-81.382652,-149.788147
186,206734384,148.648621,-81.370125,-149.895111
187,206751051,148.803711,-81.355621,-150.026077
188,206767718,148.887161,-81.344559,-150.124771
189,206784385,148.934097,-81.343651,-150.186859
190,206801052,148.951736,-81.342903,-150.227905
191,206817719,148.972534,-81.350777,-150.236755
192,206834386,148.979614,-81.362938,-150.235123
193,206851053,148.900604,-81.378235,-150.181320
194,206867720,148.816803,-81.396255,-150.120148
195,206884387,148.765030,-81.414261,-150.066269
