sep=,
DeviceTag:,Thigh
FirmwareVersion:,1.6.0
AppVersion:,2020.4.1
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Orientation(Euler)
StartTime: ,2021-03-25_17:02:18_077 CDT
© Xsens Technologies B. V. 2005-2020

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z
1,190923709,178.485825,-70.908134,-31.282707
2,190940376,177.841644,-70.700890,-30.664473
3,190957043,177.395798,-70.399826,-30.297375
4,190973710,177.213257,-70.168114,-30.204300
5,190990377,177.244843,-70.034729,-30.285862
6,191007044,177.366440,-69.964699,-30.519049
7,191023711,177.474503,-69.939865,-30.723797
8,191040378,177.543228,-69.947472,-30.901159
9,191057045,177.626114,-69.984360,-31.094376
10,191073712,177.726913,-70.044060,-31.264412
11,191090379,177.808716,-70.102890,-31.416862
12,191107046,177.864914,-70.183418,-31.540817
13,191123713,177.940643,-70.259087,-31.659389
14,191140380,178.077209,-70.330055,-31.779316
15,191157047,178.215591,-70.400574,-31.959610
16,191173714,178.333527,-70.469284,-32.170193
17,191190381,178.410782,-70.536354,-32.319172
18,191207048,178.472931,-70.588036,-32.474331
19,191223715,178.546143,-70.634178,-32.628506
20,191240382,178.611328,-70.662048,-32.791473
21,191257049,178.637802,-70.679138,-32.923042
22,191273716,178.674393,-70.694176,-33.043194
23,191290383,178.710129,-70.704010,-33.106468
24,191307050,178.730606,-70.688469,-33.117748
25,191323717,178.758011,-70.679047,-33.132305
26,191340384,178.783066,-70.648392,-33.169464
27,191357051,178.846481,-70.619019,-33.126240
28,191373718,178.917145,-70.593285,-33.210732
29,191390385,179.017105,-70.587265,-33.205151
30,191407052,179.126266,-70.605324,-33.224625
31,191423719,179.217407,-70.639275,-33.271957
32,191440386,179.290054,-70.680931,-33.288063
33,191457053,179.334137,-70.706345,-33.331062
34,191473720,179.377853,-70.716919,-33.404522
35,191490387,179.417435,-70.724213,-33.589535
36,191507054,179.407486,-70.739273,-33.725590
37,191523721,179.412338,-70.751755,-34.008953
38,191540388,179.473816,-70.788651,-34.043694
39,191557055,179.526840,-70.800003,-34.132210
40,191573722,179.602280,-70.807785,-34.273602
41,191590389,179.676178,-70.826126,-34.250484
42,191607056,179.743729,-70.849648,-34.261829
43,191623723,179.825012,-70.876472,-34.271065
44,191640390,179.910782,-70.914589,-34.357571
45,191657057,179.947617,-70.934715,-34.272652
46,191673724,179.977264,-70.940636,-34.336052
47,191690391,-179.983536,-70.937622,-34.490543
48,191707058,-179.944183,-70.925270,-34.516014
49,191723725,-179.949570,-70.915321,-34.643303
50,191740392,-179.929810,-70.927414,-34.636288
51,191757059,-179.861496,-70.936752,-34.686375
52,191773726,-179.782745,-70.968002,-34.364891
53,191790393,-179.719116,-71.020195,-34.352890
54,191807060,-179.676315,-71.029160,-34.203583
55,191823727,-179.601212,-71.029900,-34.058720
56,191840394,-179.543961,-71.036987,-34.017464
57,191857061,-179.522995,-71.052040,-33.885933
58,191873728,-179.523636,-71.083687,-33.764000
59,191890395,-179.525818,-71.120972,-33.679028
60,191907062,-179.540176,-71.154312,-33.574909
61,191923729,-179.576492,-71.181145,-33.492897
62,191940396,-179.629150,-71.202484,-33.451691
63,191957063,-179.683746,-71.236603,-33.374058
64,191973730,-179.734589,-71.287979,-33.242584
65,191990397,-179.789825,-71.332207,-33.191887
66,192007064,-179.822769,-71.394356,-33.146019
67,192023731,-179.836792,-71.463516,-33.112083
68,192040398,-179.862991,-71.531181,-32.923328
69,192057065,-179.894699,-71.599174,-32.927872
70,192073732,-179.998611,-71.661156,-32.828384
71,192090399,179.875580,-71.701195,-32.822243
72,192107066,179.799728,-71.740349,-32.768822
73,192123733,179.715927,-71.774406,-32.789589
74,192140400,179.665222,-71.806450,-32.790318
75,192157067,179.639206,-71.824165,-32.886806
76,192173734,179.634521,-71.838486,-32.795422
77,192190401,179.618210,-71.845406,-32.700836
78,192207068,179.607574,-71.859245,-32.586643
79,192223735,179.618149,-71.887932,-32.485123
80,192240402,179.648666,-71.928566,-32.372211
81,192257069,179.666092,-71.972229,-32.245571
82,192273736,179.685165,-71.999519,-32.184628
83,192290403,179.701935,-72.013741,-32.138729
84,192307070,179.673691,-72.017014,-32.052376
85,192323737,179.633301,-72.008507,-32.008839
86,192340404,179.619720,-72.002014,-31.946871
87,192357071,179.612701,-71.997910,-31.886137
88,192373738,179.608780,-71.996025,-31.841164
89,192390405,179.600311,-71.991837,-31.724491
90,192407072,179.575333,-71.986435,-31.637358
91,192423739,179.560913,-71.981598,-31.578035
92,192440406,179.551300,-71.988815,-31.484365
93,192457073,179.524765,-72.008606,-31.365068
94,192473740,179.497833,-72.034813,-31.264290
95,192490407,179.472427,-72.058655,-31.205656
96,192507074,179.462524,-72.070999,-31.155050
97,192523741,179.447540,-72.082474,-31.078745
98,192540408,179.423920,-72.095657,-31.016863
99,192557075,179.393539,-72.123917,-31.044634
100,192573742,179.370926,-72.155708,-31.028395
101,192590409,179.360367,-72.180191,-31.053154
102,192607076,179.360962,-72.188751,-31.001074
103,192623743,179.355896,-72.192436,-30.924885
104,192640410,179.347931,-72.199875,-30.851387
105,192657077,179.326492,-72.207451,-30.730040
106,192673744,179.278122,-72.206863,-30.583887
107,192690411,179.247879,-72.213676,-30.502413
108,192707078,179.234589,-72.220512,-30.448359
109,192723745,179.211746,-72.219742,-30.412880
110,192740412,179.193298,-72.217957,-30.403679
111,192757079,179.175369,-72.221878,-30.404215
112,192773746,179.154297,-72.236351,-30.393402
113,192790413,179.123337,-72.253769,-30.372461
114,192807080,179.084122,-72.278702,-30.309433
115,192823747,179.059509,-72.290443,-30.252760
116,192840414,179.040588,-72.303383,-30.246830
117,192857081,179.033310,-72.322716,-30.231535
118,192873748,179.026047,-72.343498,-30.239229
119,192890415,179.016876,-72.354591,-30.182817
120,192907082,179.008011,-72.367836,-30.178259
121,192923749,178.993057,-72.364746,-30.177832
122,192940416,178.974716,-72.364418,-30.162249
123,192957083,178.971390,-72.361099,-30.175711
124,192973750,178.971512,-72.368454,-30.205730
125,192990417,178.963821,-72.378624,-30.185179
