sep=,
DeviceTag:,Shank
FirmwareVersion:,1.6.0
AppVersion:,2020.4.1
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Orientation(Euler)
StartTime: ,2021-04-15_09:59:44_798 CDT
© Xsens Technologies B. V. 2005-2020

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z
1,1585550634,19.761889,-67.176865,-17.247061
2,1585567301,19.771471,-67.172859,-17.258926
3,1585583968,19.774719,-67.168724,-17.262709
4,1585600635,19.761543,-67.168488,-17.255480
5,1585617302,19.749031,-67.166031,-17.252932
6,1585633969,19.735949,-67.162865,-17.255091
7,1585650636,19.732410,-67.157646,-17.266226
8,1585667303,19.749966,-67.147881,-17.283978
9,1585683970,19.790306,-67.132301,-17.313150
10,1585700637,19.801275,-67.120163,-17.325092
11,1585717304,19.815271,-67.107658,-17.338186
12,1585733971,19.829769,-67.094170,-17.362331
13,1585750638,19.837315,-67.077087,-17.389162
14,1585767305,19.856611,-67.056816,-17.423534
15,1585783972,19.876745,-67.037628,-17.456741
16,1585800639,19.894514,-67.016006,-17.475063
17,1585817306,19.897827,-67.000191,-17.485704
18,1585833973,19.895870,-66.983444,-17.492764
19,1585850640,19.906023,-66.966766,-17.499676
20,1585867307,19.924112,-66.948730,-17.512859
21,1585883974,19.930773,-66.935654,-17.523703
22,1585900641,19.914280,-66.925583,-17.515268
23,1585917308,19.918798,-66.916725,-17.512838
24,1585933975,19.889961,-66.918587,-17.499313
25,1585950642,19.876760,-66.923653,-17.491684
26,1585967309,19.858725,-66.933487,-17.487318
27,1585983976,19.854937,-66.942970,-17.484177
28,1586000643,19.877054,-66.948021,-17.489187
29,1586017310,19.886257,-66.954430,-17.484882
30,1586033977,19.886667,-66.962189,-17.482216
31,1586050644,19.888367,-66.968384,-17.486509
32,1586067311,19.897375,-66.970779,-17.497009
33,1586083978,19.917393,-66.970680,-17.507032
34,1586100645,19.939034,-66.971649,-17.518780
35,1586117312,19.952993,-66.975616,-17.532736
36,1586133979,19.947498,-66.982727,-17.544630
37,1586150646,19.950239,-66.987488,-17.561260
