sep=,
DeviceTag:,Thigh
FirmwareVersion:,1.6.0
AppVersion:,2020.4.1
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Orientation(Euler)
StartTime: ,2021-04-15_09:59:44_804 CDT
© Xsens Technologies B. V. 2005-2020

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z
1,1585567301,6.991063,-65.032356,-10.985850
2,1585583968,6.995472,-65.028709,-10.993314
3,1585600635,6.993924,-65.023376,-11.000395
4,1585617302,6.989740,-65.018219,-11.006562
5,1585633969,6.977517,-65.013611,-11.009018
6,1585650636,6.970680,-65.007202,-11.012794
7,1585667303,6.979605,-65.001350,-11.020998
8,1585683970,6.996764,-64.994156,-11.026947
9,1585700637,7.020586,-64.982368,-11.048425
10,1585717304,7.046761,-64.970215,-11.073097
11,1585733971,7.058196,-64.956253,-11.095235
12,1585750638,7.066744,-64.941582,-11.119921
13,1585767305,7.080731,-64.924828,-11.144793
14,1585783972,7.103015,-64.909309,-11.170956
15,1585800639,7.120139,-64.892281,-11.195148
16,1585817306,7.134201,-64.873856,-11.218123
17,1585833973,7.150947,-64.857262,-11.238778
18,1585850640,7.173458,-64.841927,-11.257274
19,1585867307,7.189710,-64.827843,-11.268029
20,1585883974,7.191153,-64.816956,-11.276171
21,1585900641,7.200262,-64.805717,-11.289775
22,1585917308,7.211898,-64.797386,-11.298364
23,1585933975,7.194763,-64.793762,-11.297083
24,1585950642,7.181952,-64.796745,-11.292390
25,1585967309,7.159168,-64.804863,-11.282766
26,1585983976,7.146201,-64.814812,-11.270503
27,1586000643,7.149847,-64.823822,-11.258812
28,1586017310,7.154154,-64.831009,-11.251955
29,1586033977,7.158971,-64.836227,-11.252838
30,1586050644,7.158398,-64.842697,-11.254462
31,1586067311,7.164082,-64.848076,-11.260027
32,1586083978,7.183562,-64.851189,-11.268755
33,1586100645,7.205175,-64.854691,-11.282228
34,1586117312,7.216179,-64.860817,-11.296682
35,1586133979,7.210630,-64.866966,-11.308341
36,1586150646,7.208359,-64.870804,-11.318172
37,1586167313,7.208771,-64.875893,-11.316497
38,1586183980,7.198084,-64.879791,-11.314619
39,1586200647,7.184114,-64.882156,-11.312053
40,1586217314,7.175647,-64.882629,-11.308490
41,1586233981,7.168717,-64.880592,-11.310250
42,1586250648,7.170950,-64.875214,-11.304393
43,1586267315,7.176176,-64.867325,-11.300610
44,1586283982,7.175911,-64.857994,-11.301755
45,1586300649,7.179228,-64.847374,-11.308536
46,1586317316,7.190923,-64.833244,-11.314168
47,1586333983,7.180585,-64.818619,-11.311820
48,1586350650,7.183249,-64.804077,-11.310917
49,1586367317,7.194773,-64.786163,-11.311476
50,1586383984,7.204556,-64.770187,-11.310177
51,1586400651,7.233737,-64.755424,-11.313792
52,1586417318,7.258760,-64.744972,-11.322856
53,1586433985,7.274730,-64.735893,-11.331699
54,1586450652,7.296548,-64.724426,-11.352780
55,1586467319,7.327199,-64.710602,-11.378147
56,1586483986,7.367484,-64.693718,-11.410729
57,1586500653,7.403531,-64.677177,-11.446610
58,1586517320,7.431205,-64.663200,-11.486457
59,1586533987,7.442708,-64.653069,-11.520843
60,1586550654,7.452083,-64.646370,-11.551278
61,1586567321,7.473300,-64.641678,-11.582155
62,1586583988,7.500183,-64.641678,-11.609468
63,1586600655,7.516171,-64.645309,-11.623959
64,1586617322,7.524383,-64.654045,-11.622046
65,1586633989,7.525280,-64.664223,-11.604321
66,1586650656,7.523914,-64.677933,-11.572140
67,1586667323,7.524815,-64.695885,-11.526647
68,1586683990,7.498919,-64.718925,-11.465161
69,1586700657,7.449988,-64.747734,-11.387981
70,1586717324,7.414003,-64.779587,-11.307754
71,1586733991,7.364069,-64.810204,-11.226266
72,1586750658,7.309833,-64.842155,-11.146368
73,1586767325,7.262156,-64.870491,-11.071256
74,1586783992,7.225413,-64.894615,-11.010852
75,1586800659,7.201698,-64.914978,-10.969947
76,1586817326,7.201997,-64.929047,-10.949891
77,1586833993,7.206842,-64.938980,-10.940754
78,1586850660,7.202920,-64.946510,-10.934580
79,1586867327,7.187527,-64.953163,-10.924666
80,1586883994,7.162470,-64.960388,-10.911603
81,1586900661,7.139642,-64.967255,-10.896307
82,1586917328,7.124744,-64.974228,-10.881039
83,1586933995,7.118550,-64.979362,-10.863541
84,1586950662,7.113798,-64.980820,-10.834223
85,1586967329,7.098749,-64.980797,-10.797164
86,1586983996,7.098010,-64.980453,-10.760949
87,1587000663,7.112976,-64.976868,-10.726587
88,1587017330,7.130275,-64.974419,-10.692698
89,1587033997,7.154732,-64.969696,-10.659004
90,1587050664,7.175296,-64.965096,-10.624454
91,1587067331,7.177402,-64.959290,-10.591807
92,1587083998,7.175244,-64.953362,-10.565235
93,1587100665,7.176434,-64.948410,-10.550498
94,1587117332,7.184303,-64.946465,-48.656574
95,1587133999,7.197608,-64.944214,-48.649883
96,1587150666,7.142519,-64.938133,-48.628536
97,1587167333,7.009298,-64.922173,-48.580635
98,1587184000,6.971663,-64.901939,-48.602196
99,1587200667,6.984056,-64.873772,-48.646500
100,1587217334,6.988588,-64.846092,-48.675938
101,1587234001,7.039639,-64.826065,-48.695381
102,1587250668,7.083350,-64.811432,-48.730465
103,1587267335,7.075158,-64.805405,-48.731995
104,1587284002,7.100569,-64.806587,-48.732853
105,1587300669,7.110580,-64.805428,-48.751041
106,1587317336,7.103736,-64.800865,-48.759411
107,1587334003,7.126464,-64.790985,-48.777519
108,1587350670,7.153954,-64.776466,-48.797672
109,1587367337,7.153973,-64.761795,-48.800526
110,1587384004,7.145270,-64.748863,-48.807243
111,1587400671,7.156329,-64.736763,-48.821304
112,1587417338,7.165282,-64.723206,-48.825218
113,1587434005,7.155686,-64.709305,-48.831272
114,1587450672,7.164473,-64.695007,-48.845398
115,1587467339,7.161701,-64.678665,-48.853313
116,1587484006,7.139418,-64.665184,-48.852303
117,1587500673,7.138106,-64.654015,-48.863022
118,1587517340,7.138134,-64.642929,-48.873745
119,1587534007,7.140973,-64.634064,-48.872055
120,1587550674,7.152136,-64.623726,-48.863525
121,1587567341,7.169094,-64.609711,-48.847115
122,1587584008,7.188088,-64.591072,-48.825237
123,1587600675,7.220641,-64.571312,-48.810791
124,1587617342,7.254932,-64.550667,-48.802330
125,1587634009,7.275195,-64.534599,-48.798409
126,1587650676,7.261046,-64.526863,-48.790848
127,1587667343,7.223338,-64.525581,-48.775703
128,1587684010,7.178381,-64.525948,-48.757614
129,1587700677,7.140835,-64.525459,-48.740810
130,1587717344,7.115291,-64.522141,-48.735340
131,1587734011,7.085443,-64.517349,-48.732403
132,1587750678,7.042542,-64.510887,-48.727924
133,1587767345,7.002520,-64.503860,-48.731979
134,1587784012,6.966468,-64.500702,-48.739750
135,1587800679,6.939802,-64.498802,-48.757393
136,1587817346,6.932128,-64.496689,-48.783867
137,1587834013,6.937255,-64.494286,-48.814152
138,1587850680,6.953203,-64.492081,-48.855572
139,1587867347,6.963346,-64.490425,-48.903137
140,1587884014,6.982344,-64.488503,-48.958282
141,1587900681,7.009930,-64.484222,-49.018528
142,1587917348,7.046824,-64.477303,-49.083523
143,1587934015,7.085271,-64.465164,-49.141876
144,1587950682,7.118304,-64.450050,-49.190559
145,1587967349,7.157215,-64.435104,-49.242920
146,1587984016,7.187959,-64.419220,-49.295155
147,1588000683,7.213116,-64.403275,-49.346466
148,1588017350,7.248870,-64.386711,-49.394173
149,1588034017,7.272691,-64.368889,-49.434978
150,1588050684,7.282139,-64.352699,-49.462727
151,1588067351,7.294131,-64.335007,-49.486069
152,1588084018,7.307406,-64.317757,-49.504490
153,1588100685,7.322655,-64.300423,-49.518490
154,1588117352,7.350680,-64.283417,-49.527424
155,1588134019,7.393803,-64.263382,-49.528072
156,1588150686,7.436519,-64.240494,-49.511333
157,1588167353,7.489646,-64.218666,-49.478210
158,1588184020,7.527775,-64.199875,-49.419674
159,1588200687,7.525031,-64.190483,-49.334873
160,1588217354,7.518499,-64.189995,-49.245270
161,1588234021,7.485531,-64.195168,-49.146370
162,1588250688,7.419174,-64.203773,-49.048626
163,1588267355,7.258393,-64.209999,-48.918793
164,1588284022,7.168241,-64.209541,-48.790802
165,1588300689,7.081486,-64.200188,-48.673477
166,1588317356,6.994506,-64.195511,-48.577957
167,1588334023,6.887455,-64.199501,-48.486919
168,1588350690,6.777417,-64.218544,-48.431969
169,1588367357,6.687499,-64.254486,-48.428139
170,1588384024,6.697003,-64.286003,-48.500893
171,1588400691,6.678434,-64.323982,-48.590683
172,1588417358,6.720162,-64.355309,-48.699352
173,1588434025,6.814476,-64.371040,-48.820557
174,1588450692,6.908475,-64.377083,-48.946415
175,1588467359,6.983647,-64.380112,-49.060909
176,1588484026,7.058299,-64.376060,-49.159908
177,1588500693,7.115501,-64.373192,-49.252457
178,1588517360,7.139729,-64.370651,-49.336948
179,1588534027,7.157863,-64.365425,-49.408916
180,1588550694,7.173358,-64.357674,-49.469658
181,1588567361,7.165023,-64.345947,-49.516994
182,1588584028,7.148899,-64.330284,-49.556644
183,1588600695,7.121265,-64.308365,-49.589912
184,1588617362,7.097798,-64.285706,-49.627117
185,1588634029,7.108281,-64.263557,-49.670841
186,1588650696,7.107657,-64.240822,-49.710487
187,1588667363,7.111018,-64.218681,-49.754562
188,1588684030,7.228301,-64.233742,-49.841087
189,1588700697,7.282600,-64.281464,-49.981373
190,1588717364,7.445973,-64.391464,-50.208088
191,1588734031,7.606317,-64.636459,-50.598938
192,1588750698,7.655852,-64.714546,-50.986023
193,1588767365,8.125092,-64.675896,-51.168819
